City;County Code;Tow Company;Number
Bjelovar;BJ;VUČNA SLUŽBA As mane;095 815 4444
Bjelovar;BJ;Vučna služba Krosi j.d.o.o.;091 766 8221
Bjelovar;BJ;Auto Kooperant;098 943 2285
Bjelovar;BJ;MB TRANS D.O.O., Plavnice Stare;098 962 6661
Imotski;BJ;Vučna služba i vulkanizer Imotski/IVAN;091 945 1041
Garešnica;BJ;Vučna služba Borna;091 549 2592
Čazma;BJ;Mel-Mar Vučna služba - Car detailing;099 878 4342
Beli Manastir;BM;Vučna Služba Werner;091 168 0888
Čakovec;ČK;VUČNA SLUŽBA, VLADO PAVLIC;040 364 411
Prelog;ČK;ŠTEFAN TIM d.o.o.;098 577 360
Mursko Središće;ČK;Vučna služba Leško, Vratišinec;099 446 7087
Daruvar;DA;Vučna Služba Sadovek;091 928 5313
Daruvar;DA;OBRT ZA POMOĆ NA CESTI I VUČU VOZILA;043 335 758
Daruvar;DA;Vučna služba Kral;098 710 173
Grubišno Polje;DA;VUČNA SLUŽBA FILIPČIĆ vl. SENKA FILIPČIĆ;098 220 222
Delnice;DE;Vučna služba POLIĆ-24;098 675 504
Đakovo;DJ;Vučna služba Ro-Ni;095 564 2225
Đakovo;DJ;Vučna služba Birkić;091 904 9681
Đakovo;DJ;Vučna služba Kovačević - Mamba;097 648 8570
Đakovo;DJ;Vučna Služba Auto-Lora;091 570 2937
Dubrovnik;DU;Vučna služba Đano;091 179 9841
Dubrovnik;DU;Vučna služba Klafurić;099 3164 650
Dubrovnik;DU;VUČNA SLUŽBA DUBROVNIK;091 9458595
Metković;DU;AsGrubišić;098 951 2975
Metković;DU;Vučna služba VIKTOR;099 460 9015
Ploče;DU;Vučna služba Catano;098 133 9191
Orebić, Korčula;DU;Vučna Služba Bukola Recovery;098 195 0459
Orebić, Korčula;DU;Round o clock;091 948 9237
Opuzen;DU;Vučna služba VIKTOR, Krvavac;099 460 9015
Gospić;GS;Vučna služba “Božić”;099 676 3033
Otočac;GS;"Auto-vuča ""Pajko""";098 245 602
Otočac;GS;Hrvoje Commerce;099 789 6996
Senj;GS;Auto Čara;099 779 0321
Novalja;GS;Vučna služba Tome;098 160 7984, 098 208 228
Novalja;GS;Vučna služba Zmaj;091 576 0808
Imotski;IM;Vučna služba i vulkanizer Imotski/IVAN;091 945 1041
Karlovac-Duga Resa-Ozalj;KA;Vučna služba Leon Karlovac;098 916 7192
Karlovac-Duga Resa-Ozalj;KA;Vučna služba IL ŠEKI;095 318 7080
Karlovac-Duga Resa-Ozalj;KA;Vučna služba LEON;091 596 0365
Karlovac-Duga Resa-Ozalj;KA;AB, obrt za vuču vozila;098 950 3134
Karlovac-Duga Resa-Ozalj;KA;LIPA vučna služba;098 869 937
Slunj;KA;"Vučna Služba"" Krizmanić"", Rakovica";099 646 8164
Koprivnica;KC;Vučna služba Koprivnica;098 178 9662
Krapina;KR;Auto Čavelj d.o.o.;098 918 3029
Krapina;KR;Vučna služba AS Šafranko;099 647 3730
Krapina;KR;Vučna služba Venta-Truck;091 614 9889
Zabok;KR;Vučna služba Sprint;091 613 3689
Zlatar;KR;VUČNA SLUŽBA;099 785 5856
Oroslavje;KR;mikas;099 615 5555
Donja Stubica;KR;Vučna služba MARIO;098 604 962
Kutina;KT;Vučna služba - N-BIRAČ;099 666 9222
Novska;KT;VUČNA SLUŽBA AUTO-GALUŠIĆ;099 685 5221
Križevci;KŽ;Elvis - vučna služba 0/24;091 738 1493
Križevci;KŽ;Vučna služba Pepelko;091 502 7779
Križevci;KŽ;A JE TO USLUŽNI OBRT, VL. ZVONIMIR RAČIĆ;098 876 639
Križevci;KŽ;Vučna služba D-Škrlec;091 152 4764
Križevci;KŽ;MRVA - Vučna služba;091 908 7733
Makarska;MA;Auto Vukadin;098 438 039
Vrgorac;MA;Vučna služba i pomoć na cesti Auto Tonto Vrgorac;091 509 7756
Vrgorac;MA;Vučna služba i autolimarija Vukšić;091 723 7187
Vrgorac;MA;Vučna Služba Martinac;091 543 7305
Vrgorac;MA;Vučna služba MIŠEL Pomoc na cesti;095 895 4579
Našice;NA;Vučna služba Mata;091 781 0727
Našice;NA;Vučna Služba Lijić;091 298 7983
Donji Miholjac;NA;Vucna sluzba Ivic;095 517 3687
Nova Gradiška;NG;AutoKlarić Vučna služba - Autoservis;091 254 8642
Ogulin;OG;Auto Assist Ogulin;091 794 8319
Ogulin;OG;Vučna Služba Turković;091 533 0628
Ogulin;OG;BOBI;098 970 0162
Osijek;OS;Vučna služba NIKOLA;091 528 0552
Osijek;OS;CAR TOWING SERVICE NIKOLIĆ;095 328 4455
Osijek;OS;VUČNA SLUŽBA BISTROVIĆ;098 878 910
Osijek;OS;AUTO SERVIS ZNAUS & VUČNA SLUŽBA;095 571 0221
Bilje;OS;Vučna Služba & Vulkanizerski Servis - Petrić DMD;099 355 4500
Valpovo;OS;VUČNA SLUŽBA - KOVA;091 619 7528
Belišće;OS;VUČNA SLUŽBA - KOVA;091 619 7528
Pula;PU;Vucna služba Pula, Ul. Alfreda Stiglicha 34;091 185 4021
Pula;PU;Vučna služba Pula, Bennusijeva 26;097 645 9298
Pula;PU;Vučna služba MILE;097 718 3450
Pula;PU;Vučna Služba BERI;097 676 2606
Pula;PU;Vučna Služba Rile -LKW-PKW-BUS Tyre service;099 524 1308
Pula;PU;Vučna služba Žufić;092 345 5239
Pula;PU;Vučna služba Deni Pula;092 282 7438
Pula;PU;Vučna služba DID;098 255 559
Poreč;PU;Vučna služba Bernobić;098 367 350
Poreč;PU;vučna služba PAVLIĆ;091 532 2436, 099 524 7788
Rovinj;PU;RAŠKO TRANSPORT;091 202 6001
Rovinj;PU;vučna služba PAVLIĆ;091 532 2436, 099 524 7788
Umag;PU;Vučna služba Zvonko Gavran (KOKI);098 326 686
Umag;PU;LIMA Assistance 0/24;099 650 0320
Umag;PU;Vučna služba Zaki transporti;099 341 3642
Umag;PU;SP Assistance 0/24;091 596 1358
Labin;PU;MOTO TRANS d.o.o;098 462 430
Kapelica;PU;MOTO TRANS d.o.o;098 462 430
Pazin;PU;vučna služba PAVLIĆ;091 532 2436, 099 524 7788
Buzet;PU;Vučna služba SINČIĆ ASSISTANCE;091 781 3818
Vodnjan;PU;Vučna Služba BERI ;097 676 2606
Fažana;PU;Vučna Služba BERI ;097 676 2606
Buje;PU;Vučna služba Zaki transporti;099 341 3642
Buje;PU;Vučna služba Zvonko Gavran (KOKI);098 326 686
Novigrad;PU;VUCNA SLUZBA POLETTO;098 980 6498
Požega;PŽ;TIK BARIĆ;098 272 370
Požega;PŽ;Vucna sluzba požega;095 384 1228
Požega;PŽ;Vučna služba IPC i Vulkanizerska radnja;098 256 117
Pleternica;PŽ;3B-AUTO j.d.o.o;092 128 3015
Pleternica;PŽ;RUKAVINA TRANS;099 653 1491
Lipik;PŽ;Vučna služba Željko;099 848 4923
Rijeka;RI;Vučna Služba FM;091 301 0111
Rijeka;RI;Vučna Služba Sova;099 400 6999
Rijeka;RI;Vučna služba Karoca;091 115 5566
Rijeka;RI;Vučna Služba Kenda;098 913 2894
Opatija;RI;Vučna Služba Kenda, 0/24;098 913 2894
Opatija;RI;Vučna služba Sova;099 400 6999
Opatija;RI;BM - KAROSERIJA;051 272 252
Crikvenica;RI;A.S.D. SERVIS d.o.o.;098 424 586
Crikvenica;RI;Vučna služba ALEX;098 424 586
Crikvenica;RI;Crikvenica HAK;051 785 060
Rab;RI;Vučna služba Karamba (Ogulin-Ž.Lokva-Perušic), Karlobag-N.vinodolski-Crikvenica;098 328 783, 099 4483 407 
Kastav;RI;Obrt za vuču vozila Speed;091 112 9870
Kastav;RI;Vučna služba Davor;091 136 8151
Kastav;RI;Obrt Marinero;091 252 9289
Mali Lošinj;RI;Obrt Aleksandar Jurasić;098 715 589
Mali Lošinj;RI;Vučna služba Radoš;098 198 0884, 091 885 1551
Veli Lošinj;RI;Vučna služba Menelaj;051 236 531
Bakar;RI;Pomoć na cesti Kajić (Praputnjak);091 276 1284
Bakar;RI;Vučna služba i pomoć na cesti Željko Mršić d.o.o.;051 761 190, 098 259 757
Malinska;RI;AUTO BROZIĆ - (auto servis / vučna služba);098 329 954
Vrbovsko;RI;Vučna služba Vrbovsko;099 686 8383
Vrbovsko;RI;Vučna služba i Autoservis Lukica | Vrbovsko;091 524 9506
Krk;RI;Auto-klub Krk (HAK);051 221 159, 091 553 7066
Krk;RI;Autocentar Krk;091 170 7974
Novi Vinodolski;RI;Vučna služba Babić;099 674 4463
Cres;RI;Vučna služba Bolmarčić - Cres;099 677 3118
Slavonski Brod;SB;Autoservis i Vučna Služba TOMO;098 598 335
Slavonski Brod;SB;Vučna služba Miro Brod;098 960 4257
Slavonski Brod;SB;Vučna služba Sandro;097 660 7603
Slavonski Brod;SB;MIKI PRIJEVOZ I USLUGE;091 260 6292
Slavonski Brod;SB;Optima Commerce d.o.o.;091 245 6456
Slavonski Brod;SB;AM Prijevoz;095 563 3003
Slavonski Brod;SB;TADE I MIHA, OBRT ZA USLUGE PRIJEVOZA;095 539 0510
Slavonski Brod;SB;Road Assistance SEBA J.d.o.o;091 601 4400
Sisak;SK;Vučna služba ŠTEF;098 901 1198
Sisak;SK;Vučna služba Nišević;098 339 709
Sisak;SK;"Vučna služba ""DODI""";098 990 5150
Sisak;SK;Vučna služba Lukačić;098 977 3125
Sisak;SK;CVETNIĆ USLUŽNO PRIJEVOZNIČKI I TRGOVAČKI OBRT;044 573220
Voloder;SK;VUČNA SLUŽBA ŠUCO-VSM POMOĆ NA CESTI;091 617 1770
Petrinja;SK;Vučna služba Kiki;097 609 8187
Petrinja;SK;Vučna služba, Mini bager,usluga prijevoza ;098 946 6753
Petrinja;SK;Jakula usluge i građenje, vučna služba;098 927 6475
Petrinja;SK;DIL Obrt za vuču vozila;095 820 3183
Petrinja;SK;Vučna služba Stiv;095 870 2334
Glina;SK;Vučna služba Stiv;095 870 2334
Topusko;SK;Auto Otten;044 885 508
Hrvatska Kostajnica;SK;Vučna služba Stiv;095 870 2334
Slatina;SL;AS i vučna služba Slatina;033 551 888
Slatina;SL;Matić - Vučna služba (Mikleuš);098 358 139
Orahovica;SL;"Vucna sluzba ""Zloćo"" 0-24h | Slavonska Orahovica";098 168 6210, 033 675 189
Orahovica;SL;Vučna služba Knapić;099 295 4836
Split;ST;Vučna Služba Kulušić;098 943 7824
Split;ST;Vučna Službu Madžar;091 783 5645
Split;ST;Vučna Službu Botić;098 561 109
Split;ST;Vučna služba AM;095 523 8039
Split;ST;Vučna služba MM SPLIT;099 300 5064
Split;ST;TOWING SERVICE DRUŽIĆ;091 521 2992
Split;ST;Vučna služba Vladović;098 911 8887
Split;ST;Vučna služba Jale;097 680 0907
Split;ST;TOWING SERVICE KOVČO;098 265 888
Split;ST;Vučna služba Split Selak;097 677 0890
Split;ST;Vučna služba Ćuki;095 380 0251
Kaštela;ST;VUČNA SLUŽBA ŽUTI;098 919 5888
Kaštela;ST;Vučna služba Duje;091 505 2187
Kaštel Gomilica;ST;Vučna služba MALEŠ;098 291 084
Kaštel Sućurac;ST;Vučna služba Varnica;092 236 3068
Solin;ST;Vučna služba Copić;092 415 1522
Sinj;ST;VUČNA SLUŽBA VITIĆ;098 9136 174
Omiš;ST;RADIĆ AUTO;098 321 000
Trogir;ST;Vučna služba Špika;091 543 3340
Trogir;ST;VUČNA SLUŽBA ŽUTI;098 919 5888
Trilj;ST;Vučna služba Živaljić;095 512 2691
Hvar;ST;Vučnu službu Auto Hvar;091 124 4114
Hvar;ST;Vučna sluzba Rudina;098 838 441
Supetar;ST;Vučna služba Brač;095 906 4660
Stari Grad;ST;Vučna sluzba Rudina;098 838 441
Vis;ST;Vučna služba Cipulin;091 527 6994
Komiža;ST;Vučna služba Cipulin;091 527 6994
Šibenik;ŠI;Towing service Čače;098 339 555
Šibenik;ŠI;Vučna služba i pomoć na cesti - IVIĆ;095 900 6957
Šibenik;ŠI;Vučna služba M-transporti Šibenik;099 830 7647
Šibenik;ŠI;Protega Auto - Vučna služba;095 906 6704
Šibenik;ŠI;Vučna služba Šibenik-Rume;099 211 3762
Šibenik;ŠI;Vučna služba NNB servis;095 894 7189
Knin;ŠI;Vučna služba Kajunić;091 505 7789
Vodice;ŠI;Dado Towing Service;098 132 3032
Drniš;ŠI;Vučna služba Ive Express;091 365 2400
Vinkovci;VK;ROZIĆ - vučna služba i automehničar;098 876 050
Vinkovci;VK;AUTO FILIP, obrt za prijevoz i trgovinu, vl. Filip Brkić;099 402 9668
Vinkovci;VK;Vučna služba Jurković;091 620 2292
Vinkovci;VK;Autoservis i vučna služba Travica;098 968 6078
Virovitica;VT;Auto servis i vučna služba Horvat Castrol Service;099 703 3232
Virovitica;VT;Vučna služba vargović;099 873 1411
Virovitica;VT;Prijevoz Kosić;098 194 1274
Virovitica;VT;NENO obrt za uluge pomoći na cesti i vučna služba;097 680 7481
Virovitica;VT;VUČNA SLUŽBA GRUBEŠIĆ;033 721 103
Vukovar;VU;Auto Saša-vučna služba;097 753 3657
Vukovar;VU;Pomoć na cesti JAKŠA;097 654 1902
Vukovar;VU;AUTO-KLUB POLET VUKOVAR;032 413 613
Borovo;VU;N&S Vučna Služba;097 659 3080
Borovo;VU;VUČNA SLUŽBA ĐURIČIĆ;097 660 6573
Borovo;VU;Auto Erceg | autoservis i vučna služba;095 444 9944
Varaždin;VŽ;VUČNA SLUŽBA SHERIFF;091 922 1479
Varaždin;VŽ;VUČNA SLUŽBA MRKI;092 254 2953
Varaždin;VŽ;MLM COMMERCE j.d.o.o.;099 639 5474
Jakopovec;VŽ;VUČNA SLUŽBA DARIO;099 872 8796
Jalžabet;VŽ;Marcus-trade d.o.o.;095 908 0226
Trnovec;VŽ;MLM COMMERCE j.d.o.o.;099 639 5474
Ivanec;VŽ;Vučna služba Auto Hranić;091 597 5286
Novi Marof;VŽ;JURA - 24/7 Vučna služba Varaždin;098 927 9560
Ludbreg;VŽ;Vučna služba DADO;091 570 8208
Ludbreg;VŽ;MG TEAM j.d.o.o.;098 918 0010
Ludbreg;VŽ;VUČNA SLUŽBA SAĆER;099 332 9198
Varaždin county;VŽ;Vučna služba AS Šafranko, Donji Macelj;099 647 3730
Varaždin county;VŽ;Vučna služba MARIO, Bedekovčina;098 604 962
Varaždin county;VŽ;Vučna služba Venta-Truck, Trški Vrh;091 614 9889
Zadar;ZD;AutoDirekt;023 240 089, 091 534 4655
Zadar;ZD;Škara Vučna Služba;091 472 8050, 098 272 003, 095 912 9051
Zadar;ZD;Vučna služba Deur;098 332 368
Zadar;ZD;"""VELOCE"" Auto Service & Vučna Služba";091 271 0000
Zadar;ZD;Vučna služba Desnica;099 202 6988
Benkovac;ZD;Vučna služba “LUKA”;099 516 9546
Benkovac;ZD;Vučna služba Karlo;095 526 2232
Benkovac;ZD;Vučna služba/ pomoć na cesti;091 528 7873
Benkovac;ZD;"Vučna služba ""TONI""";099 191 6732
Benkovac;ZD;SALE vučna služba (towing service);091 527 5866
Benkovac;ZD;"Vučna služba i pomoć na cesti ""MB Mobil""";095 514 3216
Benkovac;ZD;Vucna služba Kamber;091 612 1878
Benkovac;ZD;Vučna služba Zrilić;092 245 6813
Benkovac;ZD;Vučna služba Dario;095 503 5825
Benkovac;ZD;Vučna služba Tome;091 540 1928
Benkovac;ZD;Vučna služba BALEN;091 528 7873
Benkovac;ZD;Mehanika & vučna služba KLARIĆ;091 577 7436
Biograd na Moru;ZD;Vučna služba Ćofi;099 202 1962
Biograd na Moru;ZD;Vučna služba Desnica;099 202 6988
Nin;ZD;Vučna služba Desnica;099 202 6988
Pag;ZD;Vučna služba Pag;095 566 0464
Pag;ZD;Vučna služba , pomoč na cesti Pag;095 511 0994
Pag;ZD;Vučna služba Desnica;099 202 6988
Pag;ZD;Vučna služba Tome;098 160 7984, 098 208 228
Pag;ZD;Vučna služba Zmaj;091 576 0808
Obrovac;ZD;Vučna služba Karlo;095 526 2232
Maslenica;ZD;Vučna Služba Antić;099 524 2550
Maslenica;ZD;"Vučna služba ""Bili""";098 355 435
Zemunik Donji;ZD;Vučna služba Burčul;098 955 4407
Zagreb;ZG;Vučna služba Zelić;099 678 9336
Zagreb;ZG;VUČNA SLUŽBA ZAGREB 0-24;095 357 4556
Zagreb;ZG;Vučna Služba ŠLEPTRANSPORT CVIJIĆ;091 364 4441
Zagreb;ZG;ADIRATO GO Vučna služba;091 199 5803
Zagreb;ZG;Vucna sluzba Zagreb zapad;092 459 1227
Zagreb;ZG;Vučna Služba Marko;091 505 4043
Zagreb;ZG;MB VUČNA SLUŽBA;091 640 4982
Zagreb;ZG;Vučna Služba Kulušić ;098 943 7824
Zagreb;ZG;Božo Šlep;091 574 1700
Zagreb;ZG;Kelava i sinovi - vučna služba;091 445 5414
Zagreb;ZG;Vučna služba DG MOBIL;098 414 273
Zagreb;ZG;Auto Bossi d.o.o.;098 808 019
Zagreb;ZG;BOLID j.d.o.o VUČNA SLUŽBA;091 180 0808
Zagreb;ZG;San Andreas vučna služba;099 743 5545
Zagreb;ZG;Vučna služba Havidić;095 379 8999
Zagreb;ZG;Vučna služba Zagreb Jurić, Sesvete;091 609 6838
Zagreb;ZG;Vučna Služba Finas Asistencija;095 356 0668
Zagreb;ZG;Vučna služba VIP-KAMENI ;091 122 2888
Zagreb;ZG;Jarun Vuča;092 205 2131
Zagreb;ZG;Vučna služba Hrvatska;095 826 2670
Zagreb;ZG;Tow truck and van transport Pulfer21;091 656 5111
Zagreb;ZG;Vučna Služba Šabić;091 619 6555
Zagreb;ZG;Vučna služba GS Flota d.o.o.;098 313 919
Zagreb;ZG;Vučna služba TIM;091 222 2245
Zagreb;ZG;Vučna služba Zagreb , Sesvete;091 935 9999
Zagreb;ZG;Vučna služba Ranogajec;098 538 757
Zagreb;ZG;Vučna služba Auto Cuki, Sesvete;098 221 464
Zagreb;ZG;Petrić-promet I vučna služba I pomoć na cesti 24/7;098 940 0466
Zagreb;ZG;Vucna sluzba Dopater;098 728 928
Zagreb;ZG;DRAVA-PROMET d.o.o.;091 2066 776, 098 332 527
Zagreb;ZG;Vučna služba DAROJKOVIĆ;091 892 5095
Zagreb;ZG;S.O.S. Obrt za usluge;091 254 6080
Zagreb;ZG;Dilt Oluja;091 615 1533
Zagreb;ZG;Autoservis Krištić;098 841 722
Zagreb;ZG;Vučna služba AUTO SALAR, Sesvete;098 512 323
Zagreb;ZG;Auto Zoki d.o.o.;091 518 7497
Velika Gorica;ZG;Vučna služba Marković;091 251 3994
Velika Gorica;ZG;Vučna služba Klafurić;099 316 4650
Velika Gorica;ZG;Vučna služba Radoš;098 198 0884
Samobor;ZG;M Team;095 738 4787
Samobor;ZG;Vučna služba pannenhilfe Bregana;091 337 1993
Samobor;ZG;Vučna služba BRKO Transporti;097 666 4666
Samobor;ZG;Vučna Služba Draško;099 595 9487
Samobor;ZG;Vučna služba Viti-transport, najam teretnih kombija;099 527 7727
Zaprešić;ZG;VUČNA SLUŽBA KALAMIR;095 626 2626
Jastrebarsko;ZG;SAKI Vučna Sluzba;098 839 491
Jastrebarsko;ZG;AUTO-STRAHIJA D.O.O.;098 354 101
Sveta Nedelja;ZG;Big boy's vučna služba;091 338 8076
Sveta Nedelja;ZG;AP Puhanić;091 519 6639
Ivanić Grad;ZG;Vučna služba Jelača;098 737 547
Ivanić Grad;ZG;Autoservis Mezak;091 525 4248
Vrbovec;ZG;Vučna služba Sedlar;098 787 524
Vrbovec;ZG;Vuča-Auto Novosel;091 279 1791, 099 279 1791
Vrbovec;ZG;Vučna služba D - ŠKRLEC:;091 1524 764
Dugo Selo;ZG;Zig-Trans Vučna Služba;098 276 593
Dugo Selo;ZG;Vučna služba “DAROJKOVIĆ”;091 892 5095
Dugo Selo;ZG;Lontra d.o.o;098 433 987
Zagreb county;ZG;Vučna služba Špiček, Igrišče;098 251 987
Županja;ŽU;Auto Franjo – Vučna služba 0-24;098 270 693
